application_id,amount,duration_in_days,check_field_1,check_field_2,check_field_3,prev_amount,free_amount,diff_dates_in_days
10048,6.684611727667927,20.0,True,True,True,7.9724660159745655,0.0,108
10107,6.551080335043404,10.0,True,True,True,7.783224016336037,9.472704636443673,555
10133,7.9724660159745655,33.0,True,True,True,7.824046010856292,7.937374696163295,148
10150,6.907755278982137,8.0,True,False,False,7.3777589082278725,0.0,221
10150,7.649692623711514,36.0,False,False,False,8.006367567650246,7.090076835776092,210
10165,7.649692623711514,21.0,True,False,True,7.824046010856292,5.991464547107982,354
10203,7.8632667240095735,37.0,True,True,True,8.131530710604252,9.011889433252344,284
10228,6.551080335043404,12.0,False,True,False,7.8632667240095735,8.160518247477505,42
10236,7.3777589082278725,44.0,False,False,False,7.3777589082278725,8.536995818712418,375
10245,7.90100705199242,41.0,False,False,True,6.214608098422191,0.0,284
10320,7.696212639346407,39.0,True,False,False,7.824046010856292,0.0,589
10411,7.003065458786462,1.0,False,False,False,7.824046010856292,0.0,355
10419,7.24422751560335,23.0,False,True,True,6.396929655216146,9.615805480084347,385
10477,7.438383530044307,17.0,True,False,True,7.9724660159745655,0.0,116
10517,8.039157390473237,42.0,False,False,False,7.24422751560335,8.716044050161402,147
10539,7.696212639346407,17.0,True,True,True,7.649692623711514,0.0,472
10671,6.684611727667927,17.0,True,False,True,6.396929655216146,0.0,137
10706,7.649692623711514,34.0,False,True,False,7.600902459542082,0.0,433
10783,8.131530710604252,1.0,False,False,True,7.9724660159745655,9.487972108574462,222
10860,7.9724660159745655,36.0,False,False,True,7.9724660159745655,0.0,596
10902,7.696212639346407,31.0,False,False,False,8.101677747454572,7.696212639346407,191
10955,7.8632667240095735,44.0,False,False,False,7.438383530044307,9.417354541360508,376
11020,8.006367567650246,26.0,False,True,False,7.600902459542082,0.0,79
11063,8.101677747454572,22.0,False,False,True,7.24422751560335,9.179881164491475,97
11122,7.7406644019172415,38.0,False,False,True,7.696212639346407,8.612503371220562,489
11151,7.3777589082278725,41.0,False,False,True,8.101677747454572,0.0,372
11176,7.696212639346407,3.0,True,True,False,7.90100705199242,9.082507000466299,572
11202,6.214608098422191,20.0,True,False,False,8.006367567650246,0.0,114
11223,7.696212639346407,37.0,True,False,True,7.003065458786462,0.0,323
11237,7.696212639346407,14.0,True,True,True,7.3777589082278725,8.699514748210191,450
11240,8.070906088787819,32.0,True,True,True,7.313220387090301,9.148464968258095,304
11246,7.24422751560335,33.0,True,False,False,8.101677747454572,8.83927669058535,384
11331,8.039157390473237,39.0,True,True,False,7.696212639346407,0.0,326
11347,8.070906088787819,37.0,True,True,True,6.214608098422191,9.239899174217728,158
11507,8.070906088787819,21.0,False,False,False,7.24422751560335,8.648221453822641,532
11537,6.907755278982137,39.0,True,True,True,6.551080335043404,5.298317366548036,204
11640,6.907755278982137,8.0,False,False,False,7.549609165154532,8.922658299524402,451
11697,7.003065458786462,31.0,False,True,True,6.396929655216146,0.0,636
11732,7.090076835776092,36.0,False,True,True,6.684611727667927,0.0,423
11757,7.9724660159745655,21.0,True,False,True,7.824046010856292,7.3777589082278725,167
11786,6.214608098422191,8.0,False,False,True,7.3777589082278725,0.0,272
